比赛id,上半场是否有进球,主队上半场得分,客队上半场得分,是否推荐场次,主队近期比赛数,主队近期总得分,主队近期总失分,主队近期上半场总得分,主队近期上半场总失分,主队30天内比赛数,主队30天内总得分,主队30天内总失分,主队30天内上半场总得分,主队30天内上半场总失分,客队近期比赛数,客队近期总得分,客队近期总失分,客队近期上半场总得分,客队近期上半场总失分,客队30天内比赛数,客队30天内总得分,客队30天内总失分,客队30天内上半场总得分,客队30天内上半场总失分
9677,1,1,0,1,12,32,10,18,4,6,18,7,8,1,10,16,7,6,4,6,4,6,1,3
9678,1,0,2,1,11,21,6,9,2,5,12,1,6,1,9,22,11,11,3,4,8,3,3,1
9679,1,2,0,1,6,5,5,3,2,3,2,3,2,2,3,3,1,1,0,0,0,0,0,0
9680,0,0,0,1,3,3,3,2,3,1,1,2,1,2,6,6,8,3,4,2,1,1,1,1
9681,0,0,0,1,10,22,11,8,5,4,9,6,5,2,6,4,8,1,3,3,3,4,1,1
9682,1,1,0,1,7,4,10,4,3,3,4,2,4,0,6,9,1,4,1,2,0,1,0,1
9684,1,2,0,1,12,19,10,9,7,5,8,4,2,3,11,12,14,3,6,6,4,10,0,6
9685,1,2,0,1,13,19,22,12,11,7,10,16,8,7,8,10,12,4,7,3,6,3,2,1
9686,0,0,0,1,7,12,7,6,5,2,3,3,2,1,9,13,2,7,0,4,5,1,2,0
9687,1,0,1,1,8,6,13,3,8,4,5,4,3,1,8,10,8,5,4,3,6,4,3,2
9688,1,1,0,1,6,7,9,4,3,3,3,5,2,1,9,10,10,4,4,5,6,6,3,2
9689,1,0,2,1,4,6,5,5,0,2,0,3,0,0,5,15,8,7,4,2,7,5,3,3
9690,1,3,1,1,5,8,8,4,4,2,2,3,1,0,4,7,5,5,0,0,0,0,0,0
9691,1,0,1,1,6,8,8,4,4,1,0,0,0,0,4,4,12,2,7,1,0,3,0,2
9693,1,1,1,1,3,1,1,0,1,3,1,1,0,1,5,6,3,4,1,3,3,1,2,0
9700,0,0,0,1,1,4,0,0,0,0,0,0,0,0,3,9,5,5,3,2,5,1,3,0
9708,1,1,2,1,11,13,13,6,8,5,6,4,3,2,5,8,10,5,3,1,0,3,0,1
9709,1,0,1,1,6,8,10,5,3,2,2,2,1,1,10,31,14,14,7,3,9,3,3,1
9711,1,0,2,1,5,12,11,5,8,2,6,3,2,2,5,4,5,1,4,2,1,3,0,2
9713,0,0,0,1,3,6,6,3,2,2,4,5,2,1,5,9,5,7,3,1,1,2,1,2
9714,0,0,0,1,3,5,3,1,1,2,3,3,0,1,3,6,5,1,2,2,5,3,0,1
9715,1,3,0,1,6,6,10,4,5,3,3,4,1,1,5,6,6,3,2,3,4,4,2,1
9717,1,2,1,1,7,13,10,9,4,3,7,3,4,1,5,2,12,0,5,2,0,2,0,0
9718,1,3,0,1,10,14,9,3,4,4,1,3,1,1,2,5,3,3,2,1,1,2,1,2
9720,1,0,1,1,4,8,5,3,2,2,5,2,2,2,2,3,1,0,1,2,3,1,0,1
9732,1,1,0,1,1,5,0,3,0,0,0,0,0,0,3,4,3,0,2,1,0,0,0,0
9744,0,0,0,1,4,4,6,2,2,2,1,1,0,0,1,0,0,0,0,1,0,0,0,0
9745,1,0,1,0,2,2,1,1,1,2,2,1,1,1,5,9,4,4,2,2,3,1,2,1
9752,1,4,0,1,10,28,13,14,8,3,6,0,1,0,11,6,12,4,7,4,2,3,1,2
9753,1,0,1,1,11,21,11,10,3,4,9,4,4,1,12,23,15,11,4,5,13,6,6,2
9754,1,0,1,1,2,2,8,0,3,0,0,0,0,0,1,3,0,2,0,1,3,0,2,0
9756,1,0,2,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,0
9758,1,0,1,1,1,2,0,0,0,1,2,0,0,0,2,5,3,2,1,2,5,3,2,1
9762,1,0,2,1,5,10,10,2,4,1,3,0,1,0,5,14,6,6,2,1,2,2,1,1
9763,1,1,0,1,6,11,5,4,3,2,2,2,0,0,1,0,4,0,2,0,0,0,0,0
9764,1,1,1,1,5,5,8,1,3,2,0,5,0,1,4,2,11,2,3,2,0,5,0,1
9766,1,2,0,1,1,0,1,0,1,0,0,0,0,0,2,5,3,2,0,1,0,2,0,0
9767,0,0,0,1,3,2,3,2,2,3,2,3,2,2,4,7,4,2,3,2,4,1,1,1
9768,1,0,3,1,2,2,4,0,1,2,2,4,0,1,6,11,12,5,5,2,5,4,1,0
9769,1,0,1,0,3,2,5,2,1,1,0,0,0,0,3,8,3,2,1,1,2,0,0,0
9770,0,0,0,1,2,5,3,1,1,1,3,2,1,0,3,2,6,0,2,2,1,1,0,0
9771,1,0,1,1,4,7,4,3,2,2,3,3,1,1,3,4,4,4,1,1,1,1,1,0
9772,1,1,0,0,2,1,4,1,1,1,1,2,1,0,6,2,4,0,4,4,1,3,0,3
9773,1,0,1,1,4,1,2,0,1,2,1,1,0,0,2,2,5,0,1,1,1,3,0,1
9774,1,2,1,1,4,14,8,3,4,2,8,4,2,3,2,1,2,1,2,1,0,2,0,2
9780,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
9787,1,1,0,1,3,2,3,2,1,2,1,2,1,1,1,2,1,0,1,1,2,1,0,1
9788,0,0,0,1,1,0,1,0,0,1,0,1,0,0,3,0,5,0,5,2,0,4,0,4
9789,1,2,1,1,2,1,2,1,2,1,0,1,0,1,1,3,0,3,0,1,3,0,3,0
9791,1,0,1,1,5,7,4,3,2,3,5,2,2,0,3,2,3,0,1,3,2,3,0,1
9792,1,1,0,1,4,8,4,2,0,4,8,4,2,0,3,4,8,2,2,2,1,7,0,1
9793,0,0,0,1,3,7,3,2,2,1,1,3,0,2,4,3,7,1,4,1,0,1,0,1
9796,1,1,1,1,2,3,6,2,4,1,2,5,1,4,5,4,9,2,4,0,0,0,0,0
9797,1,2,0,1,6,8,9,6,6,2,2,4,1,3,1,2,2,0,1,0,0,0,0,0
9802,1,1,0,1,7,8,10,4,8,2,5,4,2,3,5,8,10,5,5,2,3,5,2,3
9807,0,0,0,1,6,17,5,6,2,4,9,3,4,1,5,6,8,4,3,3,3,3,1,0
9808,1,0,3,1,4,5,9,1,1,3,3,5,0,0,5,10,5,3,1,3,6,2,1,0
9810,1,2,0,1,6,12,15,3,9,3,4,6,0,3,4,3,4,2,3,3,2,3,2,2
9811,1,2,0,1,5,9,4,4,0,3,3,1,1,0,7,7,12,2,9,4,4,9,0,7
9812,1,0,3,1,6,11,14,8,6,3,6,5,4,2,7,12,3,5,1,4,7,1,2,1
9813,1,0,1,1,4,6,6,1,1,3,5,5,1,1,4,7,6,3,4,3,5,1,3,1
9814,1,0,1,0,5,3,11,1,5,3,1,8,0,3,5,4,10,0,6,3,0,7,0,4
9815,0,0,0,0,5,1,9,1,4,3,0,6,0,3,8,19,9,8,6,4,11,4,5,3
9816,1,0,1,1,4,1,7,1,2,3,1,6,1,1,4,5,10,2,2,3,5,7,2,2
9817,1,2,0,1,3,4,7,1,3,3,4,7,1,3,3,1,5,1,1,3,1,5,1,1
9818,1,1,1,1,2,1,2,0,0,2,1,2,0,0,1,2,1,1,0,0,0,0,0,0
9819,0,0,0,1,5,3,11,0,6,2,2,4,0,3,2,2,3,1,1,1,0,1,0,0
9821,1,2,0,1,3,1,2,1,2,2,1,1,1,1,5,6,3,3,2,2,2,1,1,0
9823,1,1,0,1,1,2,0,1,0,0,0,0,0,0,5,8,6,4,5,2,2,0,1,0
9825,1,0,2,1,2,3,2,1,0,1,2,1,0,0,3,3,3,1,1,2,3,3,1,1
9831,0,0,0,1,3,3,4,2,2,2,2,2,2,1,7,7,3,2,2,4,4,2,0,1
9832,0,0,0,1,3,2,1,0,0,3,2,1,0,0,2,2,4,2,1,1,2,1,2,0
9833,0,0,0,1,4,7,4,1,1,3,6,2,0,0,7,8,7,2,3,4,3,4,1,2
9834,1,2,0,1,6,8,4,4,3,4,6,3,2,2,3,3,3,1,1,3,3,3,1,1
9835,0,0,0,1,2,5,2,1,0,2,5,2,1,0,4,9,1,5,0,3,5,0,2,0
9836,1,1,0,1,2,3,3,1,2,2,3,3,1,2,2,0,0,0,0,2,0,0,0,0
9840,1,1,0,1,1,3,0,1,0,1,3,0,1,0,1,3,0,1,0,1,3,0,1,0
9845,1,0,1,1,4,5,5,3,3,2,2,1,2,0,4,3,2,2,1,3,3,2,2,1
9846,1,1,0,1,8,14,5,5,5,3,7,2,2,2,3,2,7,1,6,1,1,2,1,2
9848,1,3,0,1,6,7,10,5,6,4,6,6,4,3,2,2,1,0,1,2,2,1,0,1
9849,1,1,0,1,3,5,8,2,5,2,5,6,2,3,8,10,7,4,4,4,3,3,1,1
9850,1,2,0,1,2,4,2,2,1,0,0,0,0,0,1,2,1,1,1,0,0,0,0,0
9854,1,1,1,1,2,0,2,0,0,1,0,1,0,0,1,2,0,2,0,1,2,0,2,0
9855,1,2,1,1,2,1,3,0,2,1,0,2,0,2,5,7,0,2,0,3,5,0,2,0
9856,0,0,0,1,4,4,5,1,4,3,3,1,1,1,6,8,6,2,3,4,3,4,1,2
9859,0,0,0,1,3,1,3,1,3,2,0,3,0,3,6,5,6,3,4,4,4,4,2,2
9862,0,0,0,1,1,1,0,1,0,1,1,0,1,0,2,5,1,3,1,2,5,1,3,1
9868,1,2,0,1,5,5,6,1,3,2,1,2,0,1,5,5,7,0,4,2,1,2,0,2
9869,1,1,1,1,7,7,14,3,4,2,2,1,1,1,9,15,10,6,4,3,5,3,3,1
9873,1,0,1,1,7,11,11,4,6,2,4,1,0,0,7,5,9,3,4,4,5,3,3,2
9874,1,2,1,1,4,5,8,0,5,2,1,6,0,3,5,5,11,1,3,2,0,3,0,0
9875,1,0,4,1,8,13,6,7,4,2,5,1,2,1,7,17,12,9,4,2,7,3,4,0
9878,1,2,1,1,8,21,13,13,4,2,7,3,6,0,8,10,17,4,5,2,4,4,2,2
9879,1,1,0,1,10,18,13,7,5,2,5,3,2,1,3,2,3,0,1,1,0,0,0,0
9880,1,1,0,1,8,7,11,4,4,3,4,2,2,0,5,7,10,2,6,2,2,6,2,3
9882,1,1,1,1,4,6,7,3,3,0,0,0,0,0,7,7,9,3,3,1,0,0,0,0
9883,1,4,0,1,4,10,4,7,2,0,0,0,0,0,6,6,5,2,2,1,0,2,0,1
9884,0,0,0,1,7,14,10,6,5,1,1,3,1,2,9,16,11,10,4,0,0,0,0,0
9885,1,1,1,1,6,7,13,2,5,2,2,3,1,2,11,36,14,15,7,2,9,0,3,0
9886,1,1,0,1,6,5,7,4,5,1,0,0,0,0,8,13,13,4,7,2,3,2,0,1
9887,1,0,1,1,5,5,3,1,1,2,3,2,1,1,8,7,11,5,5,2,1,3,1,2
9888,0,0,0,1,15,29,22,15,7,5,13,8,6,3,8,7,9,2,5,3,5,2,1,1
9889,1,2,2,1,6,8,5,5,2,0,0,0,0,0,13,9,20,7,14,5,5,11,4,9
9890,1,1,1,0,10,13,14,5,3,4,6,4,3,1,8,2,5,0,3,3,2,2,0,0
9891,0,0,0,0,14,28,17,11,6,5,10,7,2,1,10,15,17,5,7,3,6,4,2,2
9892,0,0,0,1,9,5,17,1,8,3,2,7,0,3,8,10,6,2,2,2,3,1,1,0
9894,1,1,0,1,11,14,12,6,5,2,1,0,0,0,10,13,11,4,5,3,4,6,1,2
9895,1,1,0,1,11,17,14,3,5,4,6,5,2,2,13,38,15,20,10,4,12,2,7,2
9896,1,1,0,1,9,15,12,5,3,4,7,6,2,2,8,4,11,2,2,3,0,6,0,2
9897,1,1,0,1,6,8,8,2,2,2,4,1,0,0,8,7,11,3,4,3,2,5,0,2
9898,1,1,1,1,8,8,15,3,7,3,3,7,3,2,7,13,7,4,2,2,4,4,1,2
9899,0,0,0,1,5,8,10,3,2,2,2,4,1,1,9,10,16,4,5,4,5,9,3,2
9902,1,1,1,1,7,13,5,11,1,3,7,2,5,0,7,13,3,4,0,2,1,1,0,0
9904,1,2,0,1,6,8,9,3,3,2,4,2,1,1,7,4,8,1,3,3,1,5,0,1
9905,0,0,0,1,7,8,12,5,3,4,4,8,3,1,7,16,9,6,2,3,7,4,4,1
9906,1,2,1,1,7,13,9,4,3,3,8,3,2,1,5,7,6,2,3,2,4,2,1,1
9907,1,1,1,1,8,7,9,2,7,3,3,6,1,5,6,6,6,2,1,2,4,1,2,1
9908,1,1,2,0,1,1,1,1,0,0,0,0,0,0,3,2,5,1,3,0,0,0,0,0
9909,1,1,0,1,3,1,4,1,0,2,1,2,1,0,1,2,1,2,1,0,0,0,0,0
9911,1,2,0,1,4,8,2,5,0,2,4,0,2,0,2,3,2,2,0,0,0,0,0,0
9912,1,1,0,1,1,1,2,1,2,0,0,0,0,0,3,2,2,0,1,0,0,0,0,0
9913,1,1,2,1,1,1,0,0,0,0,0,0,0,0,2,4,1,0,1,1,3,0,0,0
9914,0,0,0,1,5,9,7,3,5,2,5,1,2,1,4,4,2,2,2,1,2,1,1,1
9915,0,0,0,1,1,1,3,0,2,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0
9916,0,0,0,1,1,1,3,1,1,0,0,0,0,0,5,6,8,3,3,1,1,2,1,1
9917,1,0,1,1,2,6,0,2,0,2,6,0,2,0,8,11,5,1,2,3,3,1,0,0
9918,1,0,2,1,6,4,16,1,7,2,1,5,0,1,1,2,1,0,1,1,2,1,0,1
9924,0,0,0,1,7,7,9,5,6,4,3,4,2,3,7,15,11,6,6,4,12,7,3,3
9925,1,1,0,1,9,13,11,3,6,5,7,10,1,5,5,8,8,2,3,0,0,0,0,0
9926,0,0,0,1,9,15,8,7,5,5,8,3,3,1,8,8,8,4,1,4,4,5,1,1
9927,1,2,0,1,10,18,10,9,7,6,14,9,8,6,8,14,7,4,3,5,8,6,1,2
9928,1,1,0,1,6,10,5,7,2,4,6,2,5,0,8,8,12,4,8,4,4,6,2,5
9929,1,3,1,1,8,8,14,5,5,5,7,6,4,4,6,6,12,3,5,4,2,6,0,3
9930,1,0,1,1,7,6,7,3,4,4,3,2,2,1,11,10,14,3,7,6,3,5,1,2
9931,1,0,2,1,4,8,6,3,2,3,6,3,2,0,9,14,18,6,13,5,9,10,5,7
9932,1,1,0,1,3,3,6,1,1,1,1,0,1,0,12,15,15,11,2,7,7,9,5,1
9933,1,0,3,1,9,13,21,8,10,5,7,15,4,7,10,15,14,9,2,6,4,10,1,2
9934,1,1,0,1,11,18,9,6,5,4,5,4,2,3,12,21,20,12,8,6,11,9,5,3
9935,1,4,0,1,14,30,15,17,3,7,12,3,6,0,8,6,13,3,7,4,4,5,2,2
9936,1,0,1,1,7,6,13,5,4,4,2,8,1,3,9,12,11,4,4,5,8,4,3,1
9937,1,0,1,0,9,17,16,8,7,6,10,8,4,3,8,11,10,3,7,4,4,3,0,2
9938,1,3,0,1,7,7,12,2,5,4,5,6,2,2,5,3,6,2,3,3,2,1,1,0
9940,1,0,2,0,5,15,5,8,4,0,0,0,0,0,8,13,13,6,5,4,2,9,1,3
9941,0,0,0,1,11,22,13,10,4,6,10,8,4,4,8,10,16,5,8,4,6,10,3,5
9942,0,0,0,0,8,12,4,8,1,4,5,1,2,0,9,15,14,7,6,5,5,7,3,2
9944,1,1,0,1,5,4,6,2,3,3,1,2,0,1,5,6,3,3,2,2,2,3,1,2
9945,1,0,2,1,7,7,4,2,3,3,4,2,2,1,12,19,19,11,12,6,6,11,3,6
9946,1,2,0,1,9,11,10,6,5,6,10,6,5,2,10,17,12,8,10,3,6,2,4,1
9947,1,0,1,1,9,7,14,3,8,5,5,7,2,3,12,19,16,5,7,6,10,10,3,5
9948,1,1,0,1,10,16,14,11,4,5,7,6,5,4,10,16,19,6,5,5,6,7,2,2
9949,1,1,2,1,8,6,15,4,6,4,4,8,2,3,13,27,10,7,3,7,13,6,3,1
9950,1,1,0,1,9,8,19,7,7,6,5,14,5,7,9,16,14,8,6,4,7,6,5,2
9952,0,0,0,1,8,9,11,1,5,4,5,3,1,2,10,10,15,3,9,6,6,7,2,5
9953,0,0,0,0,9,12,13,6,7,4,4,3,3,2,10,7,10,3,7,4,2,4,1,4
9954,1,1,2,1,8,17,14,11,2,4,9,8,6,2,6,10,9,6,6,4,8,4,5,3
9955,1,0,1,1,8,14,10,5,5,5,6,6,3,3,8,10,13,3,8,5,4,7,1,5
9956,1,2,1,1,11,16,12,4,2,5,6,4,2,1,8,10,15,5,8,3,3,6,2,3
9964,1,2,1,1,4,4,4,0,1,1,2,1,0,0,1,1,0,0,0,1,1,0,0,0
9967,0,0,0,1,3,4,2,2,2,1,0,1,0,1,1,0,3,0,2,0,0,0,0,0
