比赛id,上半场是否有进球,主队上半场得分,客队上半场得分,是否推荐场次,主队近期比赛数,主队近期总得分,主队近期总失分,主队近期上半场总得分,主队近期上半场总失分,主队30天内比赛数,主队30天内总得分,主队30天内总失分,主队30天内上半场总得分,主队30天内上半场总失分,客队近期比赛数,客队近期总得分,客队近期总失分,客队近期上半场总得分,客队近期上半场总失分,客队30天内比赛数,客队30天内总得分,客队30天内总失分,客队30天内上半场总得分,客队30天内上半场总失分,上半场进球系数
27649,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,0,3,0,2,0,0,0,0,0,3.600000
27652,1,1,0,1,4,3,8,3,3,3,3,3,3,1,2,1,10,1,4,2,1,10,1,4,3.685714
27653,1,1,0,0,2,2,7,1,3,2,2,7,1,3,1,3,0,1,0,1,3,0,1,0,3.000000
27654,1,0,3,1,2,1,1,0,1,2,1,1,0,1,2,2,4,2,2,2,2,4,2,2,2.400000
27655,0,0,0,1,1,1,0,1,0,1,1,0,1,0,1,5,2,2,1,1,5,2,2,1,4.400000
27657,1,1,1,1,2,3,2,2,1,2,3,2,2,1,3,5,2,2,1,3,5,2,2,1,2.666667
27658,1,1,0,1,3,3,4,3,2,1,2,2,2,0,7,10,9,6,2,1,1,1,1,0,3.150000
27659,1,0,1,1,7,6,6,1,4,1,2,2,0,2,1,1,1,0,1,1,1,1,0,1,1.550000
27660,0,0,0,1,2,2,1,1,1,2,2,1,1,1,2,2,3,0,2,2,2,3,0,2,1.800000
27661,1,0,1,1,2,3,5,1,3,2,3,5,1,3,2,3,3,1,0,2,3,3,1,0,2.400000
27662,1,2,0,1,2,2,1,1,0,2,2,1,1,0,2,3,3,3,1,2,3,3,3,1,2.800000
27663,1,0,1,1,2,3,0,3,0,0,0,0,0,0,8,13,10,6,2,0,0,0,0,0,2.900000
27664,1,0,1,1,2,1,10,1,6,0,0,0,0,0,3,3,2,1,1,1,1,0,1,0,3.800000
27667,1,0,2,1,3,6,3,2,2,1,1,2,1,2,3,9,2,4,1,1,2,1,1,0,3.400000
27670,1,0,1,1,1,1,0,1,0,1,1,0,1,0,1,0,2,0,1,1,0,2,0,1,2.000000
27672,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,2.800000
27673,1,1,0,1,3,2,5,2,2,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,2.133333
27675,1,1,0,1,5,10,9,4,2,1,3,0,1,0,4,7,5,1,1,2,6,2,0,0,1.600000
27676,1,0,3,1,3,2,11,0,7,1,1,5,0,2,1,1,2,0,1,0,0,0,0,0,2.600000
27677,1,1,0,1,5,6,3,4,2,2,2,0,0,0,4,6,6,4,4,1,2,0,1,0,2.754286
27678,1,1,0,1,2,3,2,2,1,2,3,2,2,1,3,8,3,2,1,2,7,3,2,1,2.880000
27679,0,0,0,1,2,3,2,3,1,1,0,2,0,1,1,0,0,0,0,1,0,0,0,0,1.733333
27680,1,1,0,1,6,18,7,10,5,2,4,5,1,3,3,3,8,1,2,1,2,2,1,1,3.650000
27681,1,3,0,1,6,11,4,4,4,3,9,1,4,1,2,2,5,1,3,2,2,5,1,3,3.311111
27682,1,3,0,1,7,14,8,6,3,1,2,0,2,0,7,3,18,1,9,2,0,5,0,5,2.877778
27683,1,1,2,1,6,2,13,2,7,2,1,6,1,4,8,8,16,4,8,2,2,2,2,1,2.990000
27684,0,0,0,0,6,11,10,3,5,2,2,3,1,3,9,14,7,2,3,2,3,2,0,0,1.836364
27687,0,0,0,1,5,8,4,1,1,2,5,0,0,0,3,5,1,2,1,2,4,0,2,0,1.405714
27688,1,1,0,1,4,7,5,6,1,3,5,4,4,1,3,3,13,2,4,2,3,6,2,2,3.862857
27689,0,0,0,1,3,11,2,8,1,2,11,2,8,1,3,3,2,1,1,2,2,2,0,1,4.720000
27690,1,1,0,1,3,2,2,1,0,1,0,0,0,0,2,5,1,1,1,1,2,0,1,0,1.366667
27691,1,2,0,1,4,4,4,1,2,3,4,3,1,2,2,0,4,0,4,1,0,1,0,1,2.133333
27695,1,1,1,1,3,9,6,3,3,2,7,5,2,2,3,11,4,5,2,2,9,3,4,1,4.640000
27696,0,0,0,1,9,13,9,9,3,4,6,5,4,2,6,15,8,7,4,4,11,4,4,3,3.387692
27697,1,0,1,1,11,12,15,7,8,5,7,7,2,5,10,12,13,8,6,5,9,7,5,4,2.898333
27698,1,0,1,1,1,0,3,0,1,1,0,3,0,1,3,3,5,1,2,3,3,5,1,2,1.733333
27699,0,0,0,0,2,3,1,1,0,2,3,1,1,0,3,3,4,1,2,3,3,4,1,2,1.533333
27700,1,0,1,1,4,2,12,0,6,4,2,12,0,6,4,12,4,5,1,4,12,4,5,1,2.900000
27701,1,0,1,1,4,4,7,1,1,4,4,7,1,1,4,5,11,3,3,4,5,11,3,3,2.000000
27702,0,0,0,1,3,6,8,4,4,3,6,8,4,4,4,7,6,3,4,4,7,6,3,4,4.366667
27703,1,2,1,1,4,6,8,3,5,4,6,8,3,5,4,7,10,3,3,4,7,10,3,3,3.400000
27704,0,0,0,1,1,1,5,0,2,1,1,5,0,2,3,2,7,1,4,1,0,1,0,1,2.900000
27705,1,0,1,1,7,7,10,2,2,2,1,2,0,0,4,3,7,0,7,2,0,3,0,3,1.777778
27706,1,1,2,1,3,3,5,1,2,2,1,2,0,1,2,4,4,2,2,1,3,2,1,0,2.453333
27707,1,2,0,1,6,11,6,6,2,1,1,1,0,0,5,10,4,4,0,2,6,1,2,0,2.285714
27708,1,1,0,1,4,3,4,1,1,2,1,2,0,0,3,3,5,1,2,2,2,3,1,1,1.293333
27709,1,0,2,1,8,8,16,4,6,2,2,2,0,1,4,11,3,7,1,0,0,0,0,0,3.340000
27711,1,0,1,1,2,4,5,2,0,2,4,5,2,0,3,9,7,3,2,3,9,7,3,2,2.933333
27712,1,1,2,1,2,0,9,0,3,2,0,9,0,3,3,4,8,1,8,2,2,6,0,6,3.680000
27713,1,1,2,1,5,4,9,4,4,3,3,8,3,4,5,8,6,4,4,4,5,5,3,3,3.405556
27714,1,0,1,1,4,5,0,3,0,2,4,0,2,0,4,5,6,3,3,2,3,3,1,2,2.466667
27715,1,1,0,1,5,18,4,9,1,4,18,1,9,0,5,6,10,3,5,3,4,9,2,5,4.238889
27716,1,1,1,1,2,5,3,3,1,2,5,3,3,1,5,16,5,13,1,3,7,2,7,0,5.300000
27717,0,0,0,1,6,11,11,4,3,3,5,5,4,1,5,4,16,2,8,3,2,10,1,4,3.072222
27718,1,1,1,1,6,12,13,2,5,4,10,9,2,4,6,15,1,7,1,4,11,1,5,1,2.800000
27719,0,0,0,1,6,12,11,5,4,3,7,2,4,0,5,7,7,3,3,3,3,2,1,0,2.455556
27720,1,0,1,1,5,10,8,3,4,3,7,6,2,3,6,12,9,8,3,3,3,1,2,1,3.138889
27721,1,0,1,1,5,14,8,9,2,3,10,4,7,2,5,3,12,1,3,3,2,8,1,2,3.600000
27722,1,1,2,1,4,11,3,6,1,2,5,0,2,0,6,6,12,3,3,4,5,8,3,3,2.933333
27723,1,0,1,1,2,0,2,0,1,1,0,0,0,0,2,0,3,0,1,1,0,0,0,0,0.533333
27724,0,0,0,0,1,3,2,0,2,0,0,0,0,0,2,6,1,3,0,1,3,1,1,0,3.200000
27725,1,0,1,1,1,2,0,2,0,1,2,0,2,0,1,3,0,1,0,0,0,0,0,0,3.600000
27726,0,0,0,1,5,5,14,0,10,3,4,10,0,8,6,13,11,8,4,4,7,6,4,2,3.720000
27727,1,1,0,1,1,0,5,0,0,1,0,5,0,0,1,3,1,1,0,1,3,1,1,0,1.200000
27728,1,0,1,1,1,6,1,2,1,1,6,1,2,1,4,7,3,6,3,4,7,3,6,3,5.600000
27729,1,4,1,1,3,2,3,1,0,3,2,3,1,0,3,2,16,2,8,3,2,16,2,8,3.333333
27730,1,1,0,1,6,4,10,2,4,4,3,7,2,2,5,10,16,7,7,4,9,16,6,7,3.937778
27731,1,1,1,1,4,4,11,2,6,3,3,10,2,6,5,9,9,5,5,3,6,5,2,1,3.707143
27732,0,0,0,1,5,14,11,6,7,3,10,6,3,5,5,5,7,4,5,3,2,5,1,3,4.100000
27733,0,0,0,1,4,9,4,5,2,2,5,4,2,2,5,6,12,5,6,3,4,8,3,4,4.133333
27734,1,0,3,1,4,5,7,1,3,2,1,4,1,1,5,13,11,8,3,3,12,7,7,2,3.683333
27736,0,0,0,1,5,8,12,4,3,3,5,7,3,3,5,15,8,4,4,4,12,8,4,4,3.427778
27737,1,1,3,1,6,12,5,5,2,4,10,2,4,0,20,23,18,10,9,7,7,8,6,4,2.336296
27738,1,0,2,1,3,1,3,0,2,2,0,3,0,2,7,4,12,1,7,2,1,1,0,1,1.484444
27739,1,1,0,1,1,1,2,0,1,0,0,0,0,0,19,30,17,15,5,6,7,5,5,0,1.920000
